datetime,ET
2001-01-01,45.513836477987425
2001-01-09,26.698224852071007
2001-01-17,28.798684210526318
2001-01-25,26.65961538461539
2001-02-02,25.64032258064516
2001-02-10,23.45621301775148
2001-02-18,32.21840490797546
2001-02-26,31.594936708860757
2001-03-06,32.619354838709675
2001-03-14,27.24
2001-03-22,26.16666666666667
2001-03-30,31.683720930232557
2001-04-07,33.424561403508775
2001-04-15,23.502564102564104
2001-04-23,33.045132743362835
2001-05-01,38.37692307692308
2001-05-09,33.16341463414634
2001-05-17,35.54166666666667
2001-05-25,41.12976190476191
2001-06-02,29.48965517241379
2001-06-10,24.07777777777778
2001-06-18,12.444444444444445
2001-07-04,39.43137254901961
2001-07-12,42.46774193548387
2001-07-20,41.55621301775148
2001-08-05,40.972121212121216
2001-08-13,29.200000000000003
2001-08-21,41.083333333333336
2001-08-29,38.05185185185186
2001-09-06,37.809333333333335
2001-09-14,36.594
2001-09-22,35.30248447204969
2001-09-30,32.381699346405235
2001-10-08,35.80382165605096
2001-10-16,33.457988165680476
2001-10-24,29.73161290322581
2001-11-01,21.262962962962963
2001-11-09,25.057971014492754
2001-11-17,32.598192771084335
2001-11-25,24.878861788617886
2001-12-03,17.725
2001-12-19,24.33809523809524
2001-12-27,17.84890510948905
2002-01-01,27.13706293706294
2002-01-09,28.09178082191781
2002-01-17,24.721893491124263
2002-02-02,27.46194029850746
2002-02-10,25.327210884353743
2002-02-18,28.091176470588238
2002-02-26,26.75030303030303
2002-03-06,34.38676470588236
2002-03-14,31.34096385542169
2002-04-07,35.08579881656805
2002-04-15,26.86666666666667
2002-05-01,26.587155963302752
2002-05-09,32.01794871794872
2002-05-17,42.63333333333333
2002-05-25,41.20441176470589
2002-06-02,42.79220779220779
2002-06-10,45.71851851851852
2002-06-18,35.32835820895522
2002-06-26,28.200000000000003
2002-07-04,35.65263157894737
2002-07-20,40.793877551020415
2002-07-28,43.12134146341464
2002-08-05,37.832307692307694
2002-08-13,30.87777777777778
2002-08-21,41.47735849056604
2002-08-29,33.53103448275862
2002-09-06,34.94869565217391
2002-09-14,38.698136645962734
2002-09-22,35.290909090909096
2002-09-30,36.29166666666667
2002-10-08,30.02619047619048
2002-10-16,27.842335766423357
2002-10-24,28.9078431372549
2002-11-01,29.467346938775513
2002-11-09,25.748366013071895
2002-11-17,26.59940476190476
2002-11-25,25.862130177514793
2002-12-03,23.655555555555555
2002-12-11,24.527329192546585
2002-12-19,22.533333333333335
2002-12-27,15.695757575757577
2003-01-01,23.098726114649683
2003-01-09,19.65294117647059
2003-01-17,24.610236220472444
2003-01-25,25.75945945945946
2003-02-02,26.97030303030303
2003-02-10,23.21
2003-02-18,25.181818181818183
2003-02-26,28.380575539568344
2003-03-06,33.044654088050315
2003-03-14,31.80591715976331
2003-03-22,30.108130081300814
2003-03-30,29.117021276595747
2003-04-15,28.585714285714285
2003-04-23,35.08473282442748
2003-05-01,40.33484848484849
2003-05-09,42.403174603174605
2003-05-17,33.25289855072464
2003-05-25,37.442603550295864
2003-06-02,42.61836734693878
2003-06-10,37.01696428571429
2003-06-18,40.79575757575758
2003-06-26,35.80691823899371
2003-07-04,43.457142857142856
2003-07-12,29.0
2003-07-28,34.544117647058826
2003-08-05,41.25974842767296
2003-08-13,43.05786163522013
2003-08-21,43.532704402515726
2003-08-29,40.386875
2003-09-06,41.06036585365854
2003-09-14,37.98297872340426
2003-09-22,37.60448717948718
2003-09-30,35.45
2003-10-08,22.28
2003-10-16,29.16293706293706
2003-10-24,28.40920245398773
2003-11-01,27.632544378698228
2003-11-09,19.31696428571429
2003-11-17,22.711464968152868
2003-11-25,24.03
2003-12-03,27.447402597402597
2003-12-11,23.412666666666667
2003-12-19,19.610309278350517
2003-12-27,11.258823529411766
2004-01-01,26.537333333333336
2004-01-09,30.815476190476193
2004-01-17,22.781081081081084
2004-01-25,23.60566037735849
2004-02-02,28.126712328767123
2004-02-10,31.988489208633094
2004-02-18,28.188198757763974
2004-02-26,25.505737704918033
2004-03-05,35.00538461538462
2004-03-13,32.930769230769236
2004-03-29,45.03195266272189
2004-04-14,31.767716535433074
2004-04-22,39.86063829787234
2004-04-30,41.858823529411765
2004-05-08,30.48831168831169
2004-05-16,33.01428571428572
2004-05-24,46.870414201183436
2004-06-01,44.213913043478264
2004-06-09,40.823076923076925
2004-06-17,45.914880952380955
2004-06-25,38.2952380952381
2004-07-03,46.78461538461539
2004-07-11,41.68260869565218
2004-07-19,41.70239520958084
2004-07-27,44.235294117647065
2004-08-04,43.63214285714286
2004-08-12,39.90062893081762
2004-08-20,42.64201183431953
2004-08-28,41.113609467455625
2004-09-05,38.66449704142012
2004-09-13,36.637414965986395
2004-09-21,34.15157232704403
2004-09-29,32.35416666666667
2004-10-07,31.447096774193554
2004-10-15,29.097202797202797
2004-10-23,25.729411764705887
2004-11-08,29.01890243902439
2004-11-16,25.49142857142857
2004-11-24,28.055029585798817
2004-12-02,25.647019867549673
2004-12-10,24.730075187969927
2004-12-18,22.721118012422362
2004-12-26,19.274100719424464
2005-01-01,24.35777777777778
2005-01-09,26.326035502958582
2005-01-17,30.097385620915034
2005-01-25,29.933962264150946
2005-02-02,23.714285714285715
2005-02-10,29.29663865546219
2005-02-18,31.31301775147929
2005-02-26,31.62178217821782
2005-03-06,32.88476821192053
2005-03-14,23.883431952662722
2005-03-22,27.160000000000004
2005-03-30,34.52604166666667
2005-04-07,39.076422764227644
2005-04-15,34.77
2005-04-23,37.05647058823529
2005-05-01,43.34693877551021
2005-05-09,39.283431952662724
2005-05-17,40.04807692307693
2005-05-25,43.20769230769231
2005-06-02,42.37564102564103
2005-06-10,36.76041666666667
2005-06-18,41.684482758620696
2005-06-26,39.90412371134021
2005-07-12,42.66848484848485
2005-07-20,41.66745562130178
2005-07-28,41.716216216216225
2005-08-05,42.00181818181818
2005-08-13,43.349112426035504
2005-08-21,42.66107784431138
2005-08-29,44.29289940828403
2005-09-06,41.173584905660384
2005-09-14,39.02899408284024
2005-09-22,38.96369047619048
2005-09-30,37.04375
2005-10-08,34.14848484848485
2005-10-16,33.786206896551725
2005-10-24,28.373913043478264
2005-11-01,25.390740740740743
2005-11-09,28.950887573964497
2005-11-17,31.524691358024697
2005-11-25,31.00232558139535
2005-12-03,29.01180124223603
2005-12-11,27.041212121212126
2005-12-19,26.949375
2005-12-27,18.693548387096776
2006-01-01,27.855102040816327
2006-01-09,21.58658536585366
2006-01-17,21.270909090909093
2006-01-25,27.852222222222224
2006-02-02,26.49702380952381
2006-02-10,27.359235668789808
2006-02-26,22.681456953642385
